rms,eventID,location,latitude,longitude,depth,magnitude,country,province,district,date,idsource
0.8,469553,Merkez (Sivas),40.217,37.026,19.7,4.700200000000001,Türkiye,Sivas,Merkez,2020-03-19 08:04:24.000,NAF03
0.43,473365,Kemaliye (Erzincan),39.326,38.3783,7.52,4.0,Türkiye,Erzincan,Kemaliye,2020-05-09 15:41:19.920,NAF03
0.44,474179,Pülümür (Tunceli),39.4226,39.9736,11.86,4.3,Türkiye,Tunceli,Pülümür,2020-05-22 03:21:09.970,NAF03
0.43,474995,Merkez (Çorum),40.5228,34.8761,6.9,3.9,Türkiye,Çorum,Merkez,2020-06-03 13:11:11.060,NAF04
0.25,475220,Divriği (Sivas),39.3323,37.938,13.28,3.8,Türkiye,Sivas,Divriği,2020-06-06 20:00:24.800,NAF03
0.25,475587,Ege Denizi,40.7948,25.6351,24.9,3.7,None,None,None,2020-06-12 08:58:26.160,NAF01
0.53,475594,Ege Denizi,40.8056,25.6795,17.62,4.2145,None,None,None,2020-06-12 11:08:26.530,NAF01
0.9,475667,Karlıova (Bingöl),39.365,40.714,8.0,5.7,Türkiye,Bingöl,Karlıova,2020-06-14 14:24:27.000,NAF03
0.5,475676,Karlıova (Bingöl),39.3621,40.739,7.32,4.6,Türkiye,Bingöl,Karlıova,2020-06-14 14:34:47.400,NAF03
0.93,475673,Karlıova (Bingöl),39.3668,40.7488,9.28,4.7,Türkiye,Bingöl,Karlıova,2020-06-14 15:09:16.470,NAF03
0.32,475743,Yedisu (Bingöl),39.3821,40.661,6.23,3.6,Türkiye,Bingöl,Yedisu,2020-06-14 18:54:08.610,NAF03
0.35,475777,Yedisu (Bingöl),39.3758,40.6788,7.01,3.7,Türkiye,Bingöl,Yedisu,2020-06-14 21:17:58.040,NAF03
0.76,475786,Yedisu (Bingöl),39.3508,40.644,6.99,3.7,Türkiye,Bingöl,Yedisu,2020-06-14 22:40:35.060,NAF03
0.44,475833,Karlıova (Bingöl),39.3831,40.7216,6.99,3.6,Türkiye,Bingöl,Karlıova,2020-06-15 05:30:02.880,NAF03
0.55,475841,Karlıova (Bingöl),39.3678,40.7435,7.01,5.6,Türkiye,Bingöl,Karlıova,2020-06-15 06:51:29.220,NAF03
0.59,475846,Yedisu (Bingöl),39.3898,40.6731,6.94,3.8,Türkiye,Bingöl,Yedisu,2020-06-15 07:14:36.020,NAF03
0.28,475849,Karlıova (Bingöl),39.3731,40.773,6.99,3.9,Türkiye,Bingöl,Karlıova,2020-06-15 07:32:37.680,NAF03
0.25,475910,Yedisu (Bingöl),39.3715,40.67,7.01,3.8,Türkiye,Bingöl,Yedisu,2020-06-15 16:52:36.040,NAF03
0.57,476009,Yedisu (Bingöl),39.3508,40.6721,7.02,4.3,Türkiye,Bingöl,Yedisu,2020-06-16 12:57:40.330,NAF03
0.14,476143,Ege Denizi,40.7988,25.6438,22.42,3.6,None,None,None,2020-06-18 21:23:02.570,NAF01
0.33,476337,Çerkeş (Çankırı),40.7303,32.9776,8.77,4.2,Türkiye,Çankırı,Çerkeş,2020-06-23 05:54:19.850,NAF02
0.35,477971,Ege Denizi - [55.73 km] Gökçeada (Çanakkale),40.1883,25.0591,43.58,4.2,Türkiye,Çanakkale,Gökçeada,2020-07-24 20:41:26.200,NAF01
0.26,477981,Kiğı (Bingöl),39.3603,40.2811,13.85,4.0,Türkiye,Bingöl,Kiğı,2020-07-25 05:02:38.880,NAF03
0.28,479098,Kiğı (Bingöl),39.3678,40.303,13.4,3.6,Türkiye,Bingöl,Kiğı,2020-08-18 17:25:00.180,NAF03
0.15,480065,Marmara Denizi - [08.60 km] Şarköy (Tekirdağ),40.6886,27.4096,9.91,4.1,Türkiye,Tekirdağ,Şarköy,2020-09-08 21:57:23.990,NAF01
0.33,480128,Karlıova (Bingöl),39.3291,41.0421,7.0,4.1,Türkiye,Bingöl,Karlıova,2020-09-09 19:32:32.980,NAF03
0.31,480902,Marmara Denizi - [19.14 km] Marmaraereğlisi (Tekirdağ),40.8268,28.092,6.83,4.2,Türkiye,Tekirdağ,Marmaraereğlisi,2020-09-24 13:38:31.280,NAF01
0.37,480919,Marmara Denizi - [23.03 km] Marmaraereğlisi (Tekirdağ),40.808,28.1351,17.77,3.6,Türkiye,Tekirdağ,Marmaraereğlisi,2020-09-24 18:06:40.700,NAF01
0.4,481312,Vezirköprü (Samsun),41.1021,34.9366,6.96,3.7,Türkiye,Samsun,Vezirköprü,2020-10-01 11:37:12.050,NAF02
0.57,481808,Çerkeş (Çankırı),40.7253,33.0066,6.96,3.6,Türkiye,Çankırı,Çerkeş,2020-10-10 11:46:06.240,NAF02
0.61,483697,Tercan (Erzincan),39.8691,40.1658,6.79,4.3,Türkiye,Erzincan,Tercan,2020-10-28 09:16:14.630,NAF03
0.47,486776,Karlıova (Bingöl),39.3793,40.7516,9.15,4.700200000000001,Türkiye,Bingöl,Karlıova,2020-11-08 09:22:54.670,NAF03
0.31,487953,Pülümür (Tunceli),39.4408,40.2066,10.06,4.619249999999999,Türkiye,Tunceli,Pülümür,2020-11-14 21:22:46.770,NAF03
